Case ID,Activity,Timestamp,Person,Product,Customer,Location
1,Unknown Task,2024-01-22 14:45:07,Lukas Wagner,Product A,Firma 1,Standort C
1,Ware bestellen,2024-01-22 15:06:07,Lukas Wagner,Product C,Firma 2,Standort E
1,Information an Kunde verschicken,2024-01-22 15:09:07,Mia Fischer,Product B,Firma 4,Standort A
1,Unknown Task,2024-01-22 15:15:07,Felix Schroeder,Product B,Firma 4,Standort B
1,Unknown Task,2024-01-22 15:30:07,Anna Schmidt,Product B,Firma 3,Standort A
1,Ware bestellen,2024-01-22 15:35:07,Max Mueller,Product D,Firma 1,Standort B
1,Information an Kunde verschicken,2024-01-22 15:46:07,Max Mueller,Product A,Firma 1,Standort D
1,Unknown Task,2024-01-22 16:08:07,Mia Fischer,Product D,Firma 3,Standort B
1,Unknown Task,2024-01-22 16:38:07,Sophia Bauer,Product B,Firma 1,Standort A
1,Ware bestellen,2024-01-22 16:45:07,Max Mueller,Product C,Firma 3,Standort D
1,Information an Kunde verschicken,2024-01-22 17:06:07,Felix Schroeder,Product E,Firma 4,Standort B
1,Unknown Task,2024-01-22 17:35:07,Mia Fischer,Product C,Firma 2,Standort B
1,Unknown Task,2024-01-22 17:41:07,Anna Schmidt,Product A,Firma 4,Standort A
1,Ware bestellen,2024-01-22 18:05:07,Leon Zimmermann,Product D,Firma 4,Standort A
1,Information an Kunde verschicken,2024-01-22 18:10:07,Leon Zimmermann,Product D,Firma 3,Standort E
1,Unknown Task,2024-01-22 18:38:07,Mia Fischer,Product E,Firma 3,Standort D
1,Unknown Task,2024-01-22 19:01:07,Julia Schneider,Product A,Firma 2,Standort E
1,Ware bestellen,2024-01-22 19:16:07,Lukas Wagner,Product D,Firma 2,Standort E
1,Information an Kunde verschicken,2024-01-22 19:30:07,Lukas Wagner,Product B,Firma 2,Standort B
1,Unknown Task,2024-01-22 19:50:07,Niklas Weber,Product B,Firma 4,Standort B
1,Unknown Task,2024-01-22 20:00:07,Niklas Weber,Product A,Firma 5,Standort D
1,Ware bestellen,2024-01-22 20:30:07,Lukas Wagner,Product C,Firma 2,Standort B
1,Information an Kunde verschicken,2024-01-22 20:39:07,Sophia Bauer,Product A,Firma 5,Standort A
1,Unknown Task,2024-01-22 21:05:07,Max Mueller,Product B,Firma 5,Standort B
